Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Tantalum_Case-V_EIA-7343-20_Reflow,1,47uF Tantal 35V,C600570
"C10, C13, C18, C19, C24, C4, C6",C_0603_HandSoldering,7,100nF,C30926
"C11, C12, C17, C20, C8",C_0603_HandSoldering,5,1uF,C15849
"C14, C15",CP_Elec_4x5.8,2,CP,C401709
"C16, C25, C26",0603,3,100nF,C30926
C2,C_0603_HandSoldering,1,2.2uF,C913904
"C21, C22, C23, C7, C9",C_0603_HandSoldering,5,22nF,C77571
C3,C_0603_HandSoldering,1,NC,
C5,CP_Elec_4x5.8,1,10uF,C401709
CON1,BARREL_JACK,1,BARREL_JACK,C431533
D1,LED_D3.0mm_Horicontal_O2.54mm,1,D_Photo,C145493
"D2, D3",R_0603_HandSoldering,2,LED,C72043
D4,C_0603_HandSoldering,1,D,C143772
F1,Fuseholder5x20_horiz_SemiClosed_Casing10x25mm,1,Fuse,C58066
J1,RJ45_Ninigi_GE,1,RJ45,C3001538
"L1, L2, L3",1210,3,10uH,C250231
LD1,laserdiode_6mm,1,Laserdiode_1C2A,
"R1, R9",R_0603_HandSoldering,2,4k7,C23162
"R10, R14, R18",R_0603_HandSoldering,3,2k2,C4190
"R11, R23, R25, R26, R27",R_0603_HandSoldering,5,47k,C25819
"R12, R13, R15",R_0603_HandSoldering,3,50,C23185
R16,R_0603_HandSoldering,1,220,C22962
R17,R_0603_HandSoldering,1,470k,C23178
R19,R_0603_HandSoldering,1,12.4k,C203273
R2,R_0603_HandSoldering,1,20k,C4184
R20,R_0603_HandSoldering,1,500,C23065
R21,R_0603_HandSoldering,1,22k,C31850
R22,R_0603_HandSoldering,1,100,C22775
"R24, R6",R_0603_HandSoldering,2,500R,C23065
"R28, R31, R32",0603,3,1k2,C22765
"R29, R30",0603,2,4k7,C23162
R3,R_0603_HandSoldering,1,1k,C21190
R4,R_0603_HandSoldering,1,10k,C25804
"R5, R7",R_0603_HandSoldering,2,10,C22859
R8,R_0603_HandSoldering,1,1k2,C22765
RV1,TC33k,1,15k,C128550
U1,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,OPA695,C524799
U2,SOT-23-5,1,MAX4390,C652243
U3,MSOP-8_3x3mm_P0.65mm,1,ADCMP602,C207991
U4,DPAK3,1,LM78M05CT,C9070
U6,MLF2x2,1,MIC2605,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,AD8028,C652202
"W1, W2, W3",3mm_drill,3,TEST_1P,
